|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|     | time | x                   | y                  | goalx | goaly | yaw                 | steer                | throttle |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   0 |  0.0 |                 0.0 |                0.0 |   0.0 |   0.0 |                 0.0 |                  0.0 |      0.0 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   1 |    0 | -4.7174521352290535 |  8.331619494472697 |  -9.3 |   7.8 |  -2.677811696342898 |  -0.3134588701414062 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   2 |    0 |  -4.772447882981959 |  8.296284089770818 |  -9.3 |   7.8 | -2.6780887614669493 | -0.31605047197894065 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   3 |    0 |  -4.827626366838656 |  8.257336821924435 |  -9.3 |   7.8 | -2.6798669530959085 |  -0.3238395499948289 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   4 |    0 |  -4.882600848269005 |  8.216421801609718 |  -9.3 |   7.8 | -2.6816988755043254 |  -0.3293126929035378 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   5 |    0 |  -4.944692810051043 |  8.174493699709085 |  -9.3 |   7.8 |  -2.684472958320881 | -0.33421056554043554 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   6 |    0 |  -5.002736083613104 |  8.131517327032645 |  -9.3 |   7.8 |  -2.686767317208254 |  -0.3400485274694046 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   7 |    0 |  -5.063000275937728 |  8.091971565819454 |  -9.3 |   7.8 |  -2.688119186280682 |  -0.3462050273957159 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   8 |    0 |  -5.121926565991211 |  8.054151575417345 |  -9.3 |   7.8 | -2.6891895684956175 |  -0.3524832891771637 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|   9 |    0 |  -5.209051133543209 |  8.014873498798895 |  -9.3 |   7.8 | -2.6907438269371657 |  -0.3585356328593484 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  10 |    0 |  -5.268991572647022 | 7.9901429250920275 |  -9.3 |   7.8 | -2.6927316414159095 | -0.36155329770939565 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  11 |    0 |  -5.330076887509484 | 7.9604871076833374 |  -9.3 |   7.8 |  -2.695260128879972 | -0.36533590007736505 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  12 |    0 |  -5.357168045613728 |  7.945370234899052 |  -9.3 |   7.8 | -2.6958025204762057 | -0.36804359501604966 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  13 |    0 |  -5.440261960358871 |  7.892352993317297 |  -9.3 |   7.8 | -2.6984654235712244 | -0.37728407242309664 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  14 |    0 |  -5.502329922789136 |  7.846147523052295 |  -9.3 |   7.8 |  -2.700045717944241 |  -0.3864563983022191 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  15 |    0 |  -5.561768079529514 |  7.803655293276694 |  -9.3 |   7.8 |  -2.701403805373964 |  -0.3952899316116959 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  16 |    0 |   -5.62024751046717 |  7.758384847873807 |  -9.3 |   7.8 | -2.7020696526890253 | -0.40574857021545235 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
|  17 |    0 |  -5.696788186528604 |  7.699781506363378 |  -9.3 |   7.8 | -2.7029372354879095 |  -0.4198157146379039 |      0.7 |
|-----|------|---------------------|--------------------|-------|-------|---------------------|----------------------|----------|
