Time,data
1652390010.7322433,s20500.0
1652390010.8317354,s20500.0
1652390010.9198413,s20400.0
1652390011.018146,s20400.0
1652390011.1092105,s20300.0
1652390011.3141227,s20300.0
1652390011.3572965,s20300.0
1652390011.4048948,s20200.0
1652390011.492786,s20200.0
1652390011.5921323,s20200.0
1652390011.6805155,s20200.0
1652390011.8268147,s20100.0
1652390011.890288,s20100.0
1652390011.9770427,s20100.0
1652390012.075052,s20100.0
1652390012.17547,s20100.0
1652390012.2621582,s20100.0
1652390012.360502,s20100.0
1652390012.4504683,s20100.0
1652390012.646489,s20100.0
1652390012.6883385,s20100.0
1652390012.7570527,s20100.0
1652390012.8335464,s20100.0
1652390012.9300127,s20000.0
1652390013.0188012,s20000.0
1652390013.1167789,s20000.0
1652390013.260148,s20000.0
1652390013.3146853,s20000.0
1652390013.4141781,s20000.0
1652390013.511572,s20000.0
1652390013.5997858,s20000.0
1652390013.692776,s20000.0
1652390013.7929127,s20000.0
1652390013.8863366,s20000.0
1652390013.9772358,s20000.0
1652390014.083193,s20000.0
1652390014.1822627,s20000.0
1652390014.2700622,s20000.0
1652390014.3713703,s20000.0
1652390014.4582684,s20000.0
1652390014.5477638,s20000.0
1652390014.6539543,s20000.0
1652390014.7528932,s20000.0
1652390014.840628,s20000.0
1652390014.940614,s20000.0
1652390015.0316231,s20000.0
1652390015.1296453,s20000.0
1652390015.2172155,s20000.0
1652390015.3162975,s20000.0
1652390015.5120628,s20000.0
1652390015.5555665,s20000.0
1652390015.6113498,s20000.0
1652390015.7007582,s20000.0
1652390015.7990105,s20000.0
1652390015.8869429,s20000.0
1652390015.9863217,s20000.0
1652390016.075043,s20000.0
1652390016.1825116,s20000.0
1652390016.2812195,s20000.0
1652390016.3735325,s20000.0
1652390016.4734123,s20000.0
1652390016.5634959,s20000.0
1652390016.6513119,s20000.0
1652390016.7514107,s20000.0
1652390016.8401694,s20000.0
1652390016.9481888,s20000.0
1652390017.150473,s20000.0
1652390017.243943,s20000.0
1652390017.3255594,s20000.0
1652390017.4151018,s20000.0
1652390017.5120873,s20100.0
1652390017.6249788,s20100.0
1652390017.7102454,s20100.0
1652390017.8100994,s20100.0
1652390017.8960373,s20100.0
1652390017.9953122,s20100.0
1652390018.1749196,s20100.0
1652390018.2162397,s20100.0
1652390018.2912152,s20100.0
1652390018.3796024,s20100.0
1652390018.4685879,s20100.0
1652390018.5663853,s20100.0
1652390018.6541388,s20100.0
1652390018.7879183,s20100.0
1652390018.8636734,s20100.0
1652390018.952401,s20100.0
1652390019.0404348,s20100.0
1652390019.139729,s20100.0
1652390019.2278798,s20100.0
1652390019.3359263,s20100.0
1652390019.4358258,s20100.0
1652390019.5227933,s20100.0
1652390019.7089932,s20100.0
1652390019.751604,s20100.0
1652390019.8105142,s20100.0
1652390019.898976,s20100.0
1652390019.9958613,s20100.0
1652390020.0971766,s20100.0
1652390020.1947935,s20100.0
1652390020.2941976,s20100.0
